Area,Age-Group,Mobility-Years,Total-in-migrants,Intraprovincial-in-migrants,Interprovincial-in-migrants,External-in-migrants,Total-out-migrants,Intraprovincial-out-migrants,Interprovincial-out-migrants
Canada,15 to 19,5,317715,186325,42505,88890,228830,186325,42510
Newfoundland and Labrador,15 to 19,5,3815,2245,1365,205,3425,2240,1175
St. Johns,15 to 19,5,1305,685,480,135,485,185,300
Bay Roberts,15 to 19,5,70,0,50,0,85,55,35
Grand Falls-Windsor,15 to 19,5,120,80,40,0,145,30,115
Corner Brook,15 to 19,5,175,90,70,0,175,100,75
Prince Edward Island,15 to 19,5,1500,630,565,305,1190,630,555
Charlottetown,15 to 19,5,800,230,295,270,255,15,240
Summerside,15 to 19,5,230,80,145,0,195,85,105
Nova Scotia,15 to 19,5,6770,3210,2335,1225,5675,3210,2465
Halifax,15 to 19,5,3125,905,1300,925,1845,545,1300
Kentville,15 to 19,5,250,180,45,20,180,115,65
Truro,15 to 19,5,200,155,35,0,270,200,75
New Glasgow,15 to 19,5,160,100,55,0,205,95,110
Cape Breton,15 to 19,5,355,140,130,75,400,170,235
New Brunswick,15 to 19,5,6395,3680,1750,960,5640,3685,1955
Moncton,15 to 19,5,1200,505,375,315,580,275,300
Saint John,15 to 19,5,605,195,235,185,450,195,255
Fredericton,15 to 19,5,905,400,300,210,460,175,280
Bathurst,15 to 19,5,145,40,100,0,190,120,70
Miramichi,15 to 19,5,125,60,50,0,175,70,105
Campbellton,15 to 19,5,85,55,25,0,95,70,20
Campbellton (New Brunswick part),15 to 19,5,100,50,50,0,100,70,25
Campbellton (Quebec part),15 to 19,5,20,0,15,0,0,0,0
Edmundston,15 to 19,5,45,30,0,0,95,45,45
Quebec,15 to 19,5,67095,50420,3155,13525,54475,50420,4060
Matane,15 to 19,5,80,85,0,0,90,90,0
Rimouski,15 to 19,5,365,335,0,35,300,295,0
Riviere-du-Loup,15 to 19,5,250,240,0,0,190,195,0
Baie-Comeau,15 to 19,5,110,105,0,0,110,105,0
Saguenay,15 to 19,5,570,515,35,20,730,710,25
Alma,15 to 19,5,205,190,0,0,180,180,0
Dolbeau-Mistassini,15 to 19,5,95,90,0,0,70,65,0
Sept-Iles,15 to 19,5,150,135,0,0,185,180,0
Quebec,15 to 19,5,3850,3045,185,620,1840,1560,285
Saint-Georges,15 to 19,5,205,210,0,0,125,120,0
Thetford Mines,15 to 19,5,105,90,0,0,75,75,0
Sherbrooke,15 to 19,5,1465,1015,35,415,790,685,105
Cowansville,15 to 19,5,80,75,0,0,110,95,0
Victoriaville,15 to 19,5,265,225,0,35,215,210,0
Trois-Rivieres,15 to 19,5,1000,810,0,170,690,655,35
Shawinigan,15 to 19,5,375,380,0,0,350,350,0
Drummondville,15 to 19,5,550,490,0,45,400,380,15
Granby,15 to 19,5,590,520,0,55,390,350,0
Saint-Hyacinthe,15 to 19,5,670,560,0,105,370,355,0
Sorel-Tracy,15 to 19,5,230,230,0,0,170,170,0
Joliette,15 to 19,5,595,500,0,95,295,295,0
Saint-Jean-sur-Richelieu,15 to 19,5,805,675,95,35,505,455,50
Montreal,15 to 19,5,18890,5980,1800,11110,8020,5550,2470
Salaberry-de-Valleyfield,15 to 19,5,215,165,0,0,190,175,0
Lachute,15 to 19,5,150,145,0,0,165,160,0
Val-dOr,15 to 19,5,185,180,0,0,210,185,0
Amos,15 to 19,5,60,60,0,0,145,145,0
Rouyn-Noranda,15 to 19,5,200,190,0,0,290,290,0
Ontario,15 to 19,5,117455,70945,9115,37395,82315,70945,11370
Cornwall,15 to 19,5,485,305,85,95,425,340,85
Hawkesbury,15 to 19,5,150,95,50,0,75,40,35
Hawkesbury (Ontario part),15 to 19,5,140,90,50,0,85,35,50
Ottawa - Gatineau,15 to 19,5,9570,3425,2305,3840,3675,2505,1170
Ottawa - Gatineau (Quebec part),15 to 19,5,1960,880,530,550,1135,655,480
Ottawa - Gatineau (Ontario part),15 to 19,5,8110,2550,2270,3290,3040,1850,1190
Brockville,15 to 19,5,335,295,30,0,220,175,45
Pembroke,15 to 19,5,205,115,90,0,245,195,55
Petawawa,15 to 19,5,270,120,140,0,340,155,185
Kingston,15 to 19,5,1640,1170,275,200,1025,810,215
Belleville,15 to 19,5,860,660,135,60,700,450,255
Cobourg,15 to 19,5,230,215,20,0,225,210,15
Port Hope,15 to 19,5,155,135,0,0,130,130,0
